,Primary ID,BatchID,Time,Ethanol,Temperature,Molasses flow,NH3 flow,Air flow,Level,pH
83,84,ab,0.0,0.04787,29.4835,31.8788,0.12143,853.972,41.7383,5.62433
84,85,ab,0.166667,0.10648,29.6029,576.242,42.6286,2058.68,42.0684,4.40976
85,86,ab,0.333333,0.24484,30.2951,960.286,79.0214,2262.4,42.1459,4.23289
86,87,ab,0.5,0.45367,30.9404,968.371,78.975,2428.85,42.2182,4.42714
87,88,ab,0.666667,0.64264,30.9149,978.914,79.9,2662.23,42.2931,4.63556
88,89,ab,0.833333,0.79078,30.7848,988.175,80.1107,2798.76,42.3921,4.81555
89,90,ab,1.0,0.89185,30.7056,1000.46,81.2143,3037.02,42.4768,4.9762
90,91,ab,1.16667,0.96432,30.7164,1028.53,83.9179,3135.11,42.5598,5.09897
91,92,ab,1.33333,1.0286,30.7955,1034.91,83.8215,3318.6,42.5892,5.09875
92,93,ab,1.5,1.07844,30.8438,1057.6,85.6,3519.13,42.6954,5.07638
93,94,ab,1.66667,1.10784,30.7996,1082.21,87.8822,3677.67,42.7729,5.10936
94,95,ab,1.83333,1.12698,30.7526,1110.88,90.7429,3812.6,42.9326,5.10802
95,96,ab,2.0,1.13614,30.7593,1152.59,94.0679,4026.99,43.0325,5.07847
96,97,ab,2.16667,1.15608,30.754,1202.67,102.893,4152.33,43.1948,5.06827
97,98,ab,2.33333,1.16219,30.7875,1239.18,106.55,4319.84,43.1663,5.12848
98,99,ab,2.5,1.15484,30.7848,1291.72,111.282,4522.41,43.2296,5.10317
99,100,ab,2.66667,1.14735,30.7808,1357.76,116.7,4644.38,43.5596,5.10263
100,101,ab,2.83333,1.14336,30.7593,1408.59,121.657,4826.54,43.6238,5.1061
101,102,ab,3.0,1.13974,30.7674,1470.88,126.371,5031.33,43.7442,5.11961
102,103,ab,3.16667,1.13244,30.7767,1534.32,132.522,5153.66,43.8227,5.10588
103,104,ab,3.33333,1.12426,30.7633,1610.97,139.011,5331.64,43.9092,5.12268
104,105,ab,3.5,1.12149,30.766,1694.03,146.279,5502.09,44.0091,5.13351
105,106,ab,3.66667,1.12035,30.7607,1770.47,152.057,5686.02,44.2401,5.12705
106,107,ab,3.83333,1.1223,30.7902,1841.21,158.396,5817.04,44.3258,5.12874
107,108,ab,4.0,1.12814,30.7929,1911.06,164.868,6004.35,44.5095,5.12121
108,109,ab,4.16667,1.13419,30.8398,1984.54,171.139,6144.96,44.6317,5.15107
109,110,ab,4.33333,1.14319,30.876,2053.0,176.732,6239.23,44.7699,5.13814
110,111,ab,4.5,1.15773,30.8988,2114.23,182.418,6362.09,45.0357,5.14813
111,112,ab,4.66667,1.17322,30.9337,2170.55,187.379,6495.78,45.174,5.15503
112,113,ab,4.83333,1.19144,30.974,2234.91,192.711,6584.55,45.4067,5.16778
113,114,ab,5.0,1.21416,30.9606,2295.71,197.69,6711.58,45.5681,5.15931
114,115,ab,5.16667,1.24926,30.8438,2354.44,202.843,6768.66,45.7679,5.16328
115,116,ab,5.33333,1.29926,30.7714,2422.23,208.264,6795.29,45.957,5.16372
116,117,ab,5.5,1.36528,30.754,2464.79,212.654,6749.13,46.1693,5.16684
117,118,ab,5.66667,1.43711,30.7392,2502.73,215.193,6745.67,46.3789,5.16546
118,119,ab,5.83333,1.50629,30.7432,2533.4,217.972,6808.88,46.6117,5.17968
119,120,ab,6.0,1.57024,30.7365,2562.85,209.864,6771.5,46.8266,5.17455
120,121,ab,6.16667,1.62981,30.758,2527.23,136.975,6799.02,47.0184,5.13177
121,122,ab,6.33333,1.66646,30.7298,2408.55,131.025,6769.82,47.2458,5.12268
122,123,ab,6.5,1.66142,30.7365,2330.94,126.6,6740.88,47.4367,5.1033
123,124,ab,6.66667,1.63013,30.7365,2297.67,124.675,6779.14,47.6151,5.07629
124,125,ab,6.83333,1.57076,30.7379,2287.52,123.596,6788.55,47.8149,5.04759
125,126,ab,7.0,1.4984,30.762,2299.7,125.039,6746.65,48.0039,5.12687
126,127,ab,7.16667,1.38408,30.7727,2356.26,127.454,6755.52,48.1975,5.16742
127,128,ab,7.33333,1.27587,30.7687,2418.56,131.486,6790.14,48.4035,5.16702
128,129,ab,7.5,1.1697,30.7647,2480.96,134.475,6756.24,48.6167,5.17174
129,130,ab,7.66667,1.08173,30.7459,2522.21,136.854,6738.3,48.8236,5.17674
130,131,ab,7.83333,1.00476,30.7258,2543.12,138.029,6800.89,49.0323,5.17059
131,132,ab,8.0,0.93187,30.6694,2566.77,136.521,6745.23,49.2624,5.1746
132,133,ab,8.16667,0.86786,30.703,2586.5,111.679,6790.86,49.4934,5.17656
133,134,ab,8.33333,0.7913,30.817,2637.22,114.504,6736.71,49.6611,5.17607
134,135,ab,8.5,0.72188,30.8412,2688.02,116.457,6770.53,49.8975,5.17491
135,136,ab,8.66667,0.65915,30.6855,2733.79,118.607,6759.52,50.1115,5.17767
136,137,ab,8.83333,0.61049,30.6104,2763.0,119.693,6773.46,50.3933,5.17799
137,138,ab,9.0,0.57016,30.5916,2777.45,113.868,6788.9,50.6261,5.17549
138,139,ab,9.16667,0.52781,30.6627,2788.92,61.1321,6748.78,50.8438,5.17687
139,140,ab,9.33333,0.45932,30.9498,2831.92,62.1536,6768.13,51.0587,5.1787
140,141,ab,9.5,0.39712,31.3711,2872.13,63.4715,6774.34,51.2888,5.1762
141,142,ab,9.66667,0.34558,31.7722,2905.04,63.4321,6758.1,51.5814,5.17183
142,143,ab,9.83333,0.30175,32.1183,2921.53,64.2464,6762.72,51.7152,5.17224
143,144,ab,10.0,0.26319,32.4255,2938.24,64.4893,6779.31,52.063,5.17906
144,145,ab,10.1667,0.22631,32.7744,2959.15,64.8429,6743.54,52.3252,5.17749
145,146,ab,10.3333,0.19528,32.9286,2983.26,65.7286,6779.94,52.5384,5.16961
146,147,ab,10.5,0.16976,33.0816,3006.24,65.825,6767.95,52.7926,5.17616
147,148,ab,10.6667,0.14718,33.2037,3028.85,66.5107,6751.79,52.9932,5.17549
148,149,ab,10.8333,0.12744,33.4237,3037.4,66.8643,6762.27,53.3152,5.17023
149,150,ab,11.0,0.10741,33.5779,3050.54,66.7822,6761.29,53.5721,5.17495
150,151,ab,11.1667,0.08932,33.6088,3032.42,67.1321,6778.96,53.7541,5.17175
151,152,ab,11.3333,0.06858,33.6611,2958.97,65.0821,6761.29,54.0314,5.17754
152,153,ab,11.5,0.04721,33.6638,2892.79,63.45,6757.92,54.2803,5.18079
153,154,ab,11.6667,0.03764,33.5015,2800.54,61.5357,6763.16,54.4774,5.18191
154,155,ab,11.8333,0.03472,33.4545,2718.25,59.7215,6785.0,54.7815,5.17406
155,156,ab,12.0,0.03254,33.4666,2623.01,52.0393,6753.13,54.8689,5.17371
156,157,ab,12.1667,0.03028,33.4639,2407.34,0.08929,6779.4,55.174,5.23191
157,158,ab,12.3333,0.028,33.3606,2024.05,0.06786,6748.96,55.3657,5.36462
158,159,ab,12.5,0.02594,33.1285,1638.47,0.07143,6768.84,55.5093,5.51484
159,160,ab,12.6667,0.02409,32.8428,1242.81,0.075,6773.54,55.578,5.67616
160,161,ab,12.8333,0.02278,32.9139,884.382,0.06786,6749.84,55.71,5.84193
161,162,ab,13.0,0.02165,33.2144,398.86,0.08214,6779.14,55.7055,6.02295
